Chinese,Pinyin,English
阿姨,āyí,aunt
啊,a,ah
矮,ǎi,short
爱好,àihào,hobby
安静,ānjìng,Be quiet
把,bǎ,hold
班,bān,class
搬,bān,turn; pull
半,bàn,half
办法,bànfǎ,Way
办公室,bàngōngshì,Office
帮忙,bāngmáng,Help
包,bāo,package
饱,bǎo,full
北方,běifāng,north
被,bèi,cover
鼻子,bízi,nose
比,bǐ,than
比较,bǐjiào,compare
比赛,bǐsài,Match
必须,bìxū,Must
变化,biànhuà,change
表示,biǎoshì,Express
表演,biǎoyǎn,perform
别人,biéren,Others
宾馆,bīnguǎn,hotel
冰箱,bīngxiāng,Refrigerator
才,cái,just
菜单,càidān,menu
参加,cānjiā,participate in
草,cǎo,grass
层,céng,layer
差,chà,difference
超市,chāoshì,Supermarket
衬衫,chènshān,shirt
成绩,chéngjì,achievement
城市,chéngshì,City
迟到,chídào,Late
出现,chūxiàn,Appear
厨房,chúfáng,Kitchen
除了,chúle,except
春,chūn,spring
词语,cíyǔ,terms
聪明,cōngming,clever
打扫,dǎsǎo,Clean
打算,dǎsuàn,Plan
带,dài,belt
担心,dānxīn,Worry
蛋糕,dàngāo,Cake
当然,dāngrán,Of course
地,de,
灯,dēng,lamp
低,dī,low
地方,dìfang,local
地铁,dìtiě,metro
地图,dìtú,Map
电梯,diàntī,Elevator.
电子邮件,diànzǐyóujiàn,E-mail
东,dōng,east
冬,dōng,winter
动物,dòngwù,Animal
短,duǎn,short
段,duàn,paragraph
锻炼,duànliàn,Physical exercise
多么,duōme,what
饿,è,hungry
而且,érqiě,And
耳朵,ěrduo,Ears
发烧,fāshāo,Have a fever
发现,fāxiàn,find
方便,fāngbiàn,convenient
放,fàng,discharge
放心,fàngxīn,Don’t worry
分,fēn,branch
附近,fùjìn,nearby
复习,fùxí,Review
干净,gānjìng,clean
敢,gǎn,dare
感冒,gǎnmào,Cold
刚才,gāngcái,just
跟,gēn,with
根据,gēnjù,according to
更,gèng,more
公司,gōngsī,company
公园,gōngyuán,Park
故事,gùshi,Story
刮风,guāfēng,Windy
关,guān,shut
关系,guānxì,relationship
关心,guānxīn,Care for
关于,guānyú,about
国家,guójiā,Country
果汁,guǒzhī,fruit juice
过去,guòqù,Past times
还是,háishì,still
害怕,hàipà,Fear
河,hé,river
黑板,hēibǎn,blackboard
护照,hùzhào,passport
花 （动）,huā,Flower (move)
花园,huāyuán,Garden
画,huà,painting
坏,huài,bad
环境,huánjìng,Environmental Science
换,huàn,change
黄,huáng,yellow
会议,huìyì,Meeting
或者,huòzhě,perhaps
几乎,jīhū,almost
机会,jīhuì,Opportunity
极,jí,extremely
记得,jìde,remember
季节,jìjié,Season
检查,jiǎnchá,inspect
简单,jiǎndān,simple
健康,jiànkāng,Healthy
见面,jiànmiàn,meet
讲,jiǎng,speak
教,jiāo,teach
角,jiǎo,horn
脚,jiǎo,foot
接,jiē,meet
街道,jiēdào,Street
结婚,jiéhūn,marry
结束,jiéshù,End
节目,jiémù,program
节日,jiérì,festival
解决,jiějué,Solve
借,jiè,borrow
经常,jīngcháng,Often
经过,jīngguò,after
